gene_symbol,chr,start,end,strand,biotype,gene_id
,1,38383838,38384422,-1,processed_pseudogene,ENSG00000275350
,1,73787370,73915340,-1,lncRNA,ENSG00000285778
,1,50206084,50223127,-1,lncRNA,ENSG00000233407
,1,72979014,72979314,-1,TEC,ENSG00000280317
GDI2P2,1,72274552,72275159,1,processed_pseudogene,ENSG00000233994
,1,78317157,78317263,-1,unprocessed_pseudogene,ENSG00000227556
,1,53344031,53365473,1,lncRNA,ENSG00000285954
RNFT1P2,1,78170481,78171237,-1,processed_pseudogene,ENSG00000233333
COX6A1P1,1,80495903,80496233,1,processed_pseudogene,ENSG00000234108
ADH5P2,1,79521080,79522203,1,processed_pseudogene,ENSG00000232676
RPL29P5,1,75582099,75582555,1,processed_pseudogene,ENSG00000213579
,1,65486406,65494188,1,lncRNA,ENSG00000237852
,1,62530636,62530873,1,processed_pseudogene,ENSG00000270549
,1,62905180,62905482,1,processed_pseudogene,ENSG00000237163
KRT8P21,1,73104792,73106282,1,processed_pseudogene,ENSG00000229636
NDUFS5P3,1,52709122,52709442,1,processed_pseudogene,ENSG00000233664
RPL13AP9,1,62641122,62641667,-1,processed_pseudogene,ENSG00000213703
COX6CP13,1,65298755,65298980,-1,processed_pseudogene,ENSG00000234144
,1,80124004,80124361,1,unprocessed_pseudogene,ENSG00000277670
PDE4B-AS1,1,66042500,66050718,-1,lncRNA,ENSG00000227466
,1,77081984,77086402,1,lncRNA,ENSG00000230498
,1,75521562,75522231,1,processed_pseudogene,ENSG00000224493
GJA9,1,38874069,38881587,-1,protein_coding,ENSG00000131233
,1,63078081,63079031,-1,lncRNA,ENSG00000229225
,1,80373364,80374621,-1,lncRNA,ENSG00000225598
,1,89427533,89525472,-1,lncRNA,ENSG00000286548
,1,90860550,90862920,-1,lncRNA,ENSG00000272094
NEGR1-IT1,1,71794232,71837012,-1,lncRNA,ENSG00000228853
,1,77067920,77078482,1,lncRNA,ENSG00000288543
RPL17P6,1,77129114,77129668,1,processed_pseudogene,ENSG00000226084
PGBD4P8,1,60097415,60097976,1,processed_pseudogene,ENSG00000229332
MTND2P30,1,81080790,81081171,1,processed_pseudogene,ENSG00000227937
RPL7P10,1,81098267,81099005,-1,processed_pseudogene,ENSG00000229752
,1,58228682,58229003,-1,processed_pseudogene,ENSG00000233216
,1,44150594,44151753,-1,processed_pseudogene,ENSG00000226804
,1,54621477,54628438,-1,lncRNA,ENSG00000230728
SLC25A6P3,1,51709062,51709940,1,processed_pseudogene,ENSG00000232846
PSAT1P3,1,79054945,79056055,-1,processed_pseudogene,ENSG00000230787
,1,68974010,69023558,1,lncRNA,ENSG00000285473
,1,53267935,53268601,1,lncRNA,ENSG00000234578
,1,86029854,86030589,1,processed_pseudogene,ENSG00000229505
,1,77194825,77195395,1,processed_pseudogene,ENSG00000228187
HMGB1P18,1,80283352,80283970,1,processed_pseudogene,ENSG00000236407
,1,89633140,89933250,1,protein_coding,ENSG00000271949
,1,80464301,80464718,-1,processed_pseudogene,ENSG00000227062
,1,79323769,79324863,1,lncRNA,ENSG00000235011
HNRNPA1P64,1,80451083,80452004,-1,processed_pseudogene,ENSG00000213559
PHKA1P1,1,90892992,90893612,-1,processed_pseudogene,ENSG00000232882
MTCO1P21,1,93927714,93928302,-1,unprocessed_pseudogene,ENSG00000226960
,1,50326131,50327007,1,processed_pseudogene,ENSG00000234080
,1,79967733,80051404,-1,lncRNA,ENSG00000285409
MROH7-TTC4,1,54641786,54742308,1,protein_coding,ENSG00000271723
,1,103926567,103927806,1,processed_pseudogene,ENSG00000225191
,1,77248633,77250826,1,lncRNA,ENSG00000287870
HNRNPCP9,1,67660155,67661013,-1,processed_pseudogene,ENSG00000232048
KATNBL1P2,1,94650544,94651378,-1,processed_pseudogene,ENSG00000232857
,1,38839333,38874494,-1,lncRNA,ENSG00000273637
,1,53288024,53289706,1,lncRNA,ENSG00000228838
,1,99970011,100083321,1,protein_coding,ENSG00000283761
,1,44122153,44122512,-1,processed_pseudogene,ENSG00000233514
,1,51793934,51799154,1,lncRNA,ENSG00000266993
HMGB1P45,1,50398825,50399773,-1,processed_pseudogene,ENSG00000229316
MTND4P11,1,93922574,93923945,-1,unprocessed_pseudogene,ENSG00000234099
MTCO3P21,1,93924743,93925385,-1,unprocessed_pseudogene,ENSG00000232752
TBCAP2,1,14692129,14692613,-1,processed_pseudogene,ENSG00000235829
SNX7-DT,1,98660388,98661059,-1,TEC,ENSG00000280040
OOSP1P1,1,44155028,44155301,-1,processed_pseudogene,ENSG00000238037
,1,57386576,57387450,1,lncRNA,ENSG00000227935
EEF1A1P11,1,96446930,96448318,1,processed_pseudogene,ENSG00000228502
,1,101882516,101882894,1,processed_pseudogene,ENSG00000271277
RPS20P5,1,57605847,57606206,-1,processed_pseudogene,ENSG00000236888
,1,50114937,50115282,1,processed_pseudogene,ENSG00000230828
,1,93934479,93935244,-1,processed_pseudogene,ENSG00000233129
MATR3P3,1,105890693,105891430,-1,processed_pseudogene,ENSG00000237897
,1,94417743,94418228,-1,lncRNA,ENSG00000286692
,1,93847174,93848939,1,lncRNA,ENSG00000260464
,1,99842610,99842761,1,processed_pseudogene,ENSG00000231996
,1,14774469,14777727,-1,lncRNA,ENSG00000287756
,1,9421098,9422862,-1,lncRNA,ENSG00000284652
,1,101256274,101256616,1,processed_pseudogene,ENSG00000228399
RPL21P23,1,56538452,56538911,1,processed_pseudogene,ENSG00000236776
,1,95743096,95759470,1,lncRNA,ENSG00000271252
MTND3P21,1,93924386,93924716,-1,unprocessed_pseudogene,ENSG00000235794
,1,99464378,99464776,1,processed_pseudogene,ENSG00000233983
RPL21P26,1,94406395,94406882,-1,processed_pseudogene,ENSG00000232918
RPSAP19,1,101786340,101787219,-1,processed_pseudogene,ENSG00000183298
DNAJA1P5,1,101893105,101894047,1,processed_pseudogene,ENSG00000162699
HSP90B3P,1,91642516,91644082,1,processed_pseudogene,ENSG00000203914
,1,59289303,59289640,-1,lncRNA,ENSG00000270457
LINC01787,1,96254069,96374125,-1,lncRNA,ENSG00000231987
MTATP6P13,1,93925406,93926072,-1,unprocessed_pseudogene,ENSG00000229842
,1,94145111,94145619,1,lncRNA,ENSG00000233482
,1,113698884,113699631,-1,transcribed_processed_pseudogene,ENSG00000232450
,1,58060139,58080274,1,lncRNA,ENSG00000235038
,1,117493515,117495006,1,TEC,ENSG00000279513
,1,96390652,96391393,1,processed_pseudogene,ENSG00000225923
RPS26P15,1,58056133,58056480,-1,processed_pseudogene,ENSG00000223416
NBPF17P,1,143595216,143635641,-1,unprocessed_pseudogene,ENSG00000179571
SEPTIN2P1,1,105698039,105698218,1,processed_pseudogene,ENSG00000227850
LINC02788,1,90835660,90849472,1,lncRNA,ENSG00000285532
VPS25P1,1,117549415,117549922,1,processed_pseudogene,ENSG00000226755
,1,143354191,143386122,1,unprocessed_pseudogene,ENSG00000277095
,1,143449571,143450245,-1,processed_pseudogene,ENSG00000264145
MTND5P20,1,113576757,113576899,-1,processed_pseudogene,ENSG00000238256
NEFHP1,1,116739981,116742609,-1,processed_pseudogene,ENSG00000223489
,1,58084419,58084559,1,unprocessed_pseudogene,ENSG00000230546
VDAC2P3,1,117640812,117641639,-1,processed_pseudogene,ENSG00000213262
,1,90045998,90047109,1,lncRNA,ENSG00000287015
,1,110177643,110178719,-1,lncRNA,ENSG00000235526
FTLP17,1,104153306,104153830,-1,processed_pseudogene,ENSG00000228347
HIGD1AP12,1,111380291,111380571,1,processed_pseudogene,ENSG00000236012
TSHB,1,115029826,115034302,1,protein_coding,ENSG00000134200
PSMC1P12,1,118614333,118615646,-1,processed_pseudogene,ENSG00000226126
RPS15AP9,1,117138229,117138609,1,processed_pseudogene,ENSG00000228453
,1,151130075,151131610,-1,lncRNA,ENSG00000261168
MTIF2P1,1,121502344,121503891,1,processed_pseudogene,ENSG00000233432
,1,118712999,118713678,1,processed_pseudogene,ENSG00000229911
,1,117700029,117700242,-1,processed_pseudogene,ENSG00000270719
UBE2WP1,1,96418594,96418933,1,processed_pseudogene,ENSG00000234422
SLC6A17-AS1,1,110165948,110172489,-1,lncRNA,ENSG00000227091
,1,106080801,106081379,-1,processed_pseudogene,ENSG00000230932
CDK4P1,1,105433994,105434821,1,processed_pseudogene,ENSG00000225036
,1,93926032,93926188,-1,unprocessed_pseudogene,ENSG00000250890
,1,111323833,111324075,1,processed_pseudogene,ENSG00000232240
TXNP3,1,112363281,112363581,1,processed_pseudogene,ENSG00000234388
RPS29P29,1,151111912,151112728,-1,processed_pseudogene,ENSG00000233717
,1,106780223,106780435,1,processed_pseudogene,ENSG00000270976
PNRC2P1,1,117778087,117778506,-1,processed_pseudogene,ENSG00000228217
,1,106544342,106544744,-1,processed_pseudogene,ENSG00000270342
LINC02799,1,143499187,143500512,-1,lncRNA,ENSG00000235887
,1,80092103,80093237,-1,processed_pseudogene,ENSG00000235756
PPIAP7,1,101270875,101271363,-1,processed_pseudogene,ENSG00000173810
OR10AE1P,1,159581620,159582648,-1,unprocessed_pseudogene,ENSG00000271890
NR1H5P,1,114837227,114851453,1,unitary_pseudogene,ENSG00000227970
,1,89788914,89790492,1,lncRNA,ENSG00000231613
MTCO2P21,1,93926615,93927569,-1,unprocessed_pseudogene,ENSG00000236689
PFN1P12,1,143619994,143620527,1,processed_pseudogene,ENSG00000226028
,1,143541768,143572834,1,unprocessed_pseudogene,ENSG00000203825
MTATP6P14,1,106802755,106803427,-1,processed_pseudogene,ENSG00000233449
NKAIN1P1,1,143487772,143488353,1,processed_pseudogene,ENSG00000242943
,1,113449700,113450728,1,processed_pseudogene,ENSG00000232499
,1,163244505,163321894,-1,lncRNA,ENSG00000232995
FMO8P,1,166566178,166580705,1,unprocessed_pseudogene,ENSG00000238087
TLCD4-RWDD3,1,95117923,95247225,1,protein_coding,ENSG00000271092
FMO11P,1,166763334,166792767,1,unprocessed_pseudogene,ENSG00000232148
,1,105891739,105893517,1,processed_pseudogene,ENSG00000232952
,1,80114943,80116918,1,lncRNA,ENSG00000260322
FDPSP1,1,187563061,187564131,1,processed_pseudogene,ENSG00000225462
,1,163259850,163260659,1,lncRNA,ENSG00000237756
,1,191179521,191179739,-1,processed_pseudogene,ENSG00000271187
LINC01720,1,190624890,190801658,1,lncRNA,ENSG00000231175
LRRC8D-DT,1,89820174,89820868,-1,lncRNA,ENSG00000272931
,1,56619409,56619549,-1,processed_pseudogene,ENSG00000225475
CNN2P10,1,166796266,166797183,1,processed_pseudogene,ENSG00000232223
LAMC1-AS1,1,183138402,183141282,-1,lncRNA,ENSG00000224468
MTCO1P14,1,106804474,106806032,-1,processed_pseudogene,ENSG00000232551
,1,189868001,189868528,-1,lncRNA,ENSG00000238270
,1,190781787,190781995,1,processed_pseudogene,ENSG00000236025
,1,169762929,169764648,-1,lncRNA,ENSG00000230704
,1,144179777,144211729,1,unprocessed_pseudogene,ENSG00000275767
PRELID1P7,1,165497724,165498348,1,processed_pseudogene,ENSG00000230748
,1,190797524,190797956,1,processed_pseudogene,ENSG00000238108
,1,189868381,189876160,1,lncRNA,ENSG00000287472
WDR82P2,1,91534666,91535593,-1,processed_pseudogene,ENSG00000241318
,1,186578279,186579299,1,processed_pseudogene,ENSG00000228238
RPL5P6,1,91023919,91024804,1,processed_pseudogene,ENSG00000232393
OR10J5,1,159535078,159536007,-1,protein_coding,ENSG00000184155
HSPE1P6,1,203903723,203904013,-1,processed_pseudogene,ENSG00000232917
EEF1A1P14,1,194188967,194190342,1,processed_pseudogene,ENSG00000233057
,1,186176814,186177302,-1,lncRNA,ENSG00000224691
,1,211936249,211936634,1,processed_pseudogene,ENSG00000233626
,1,194350943,194352426,1,lncRNA,ENSG00000231714
,1,190878145,191151410,-1,lncRNA,ENSG00000285638
,1,189989570,189993097,-1,processed_pseudogene,ENSG00000230987
,1,194718795,194719236,1,processed_pseudogene,ENSG00000228167
,1,188067298,188067525,-1,processed_pseudogene,ENSG00000150732
,1,169915004,169915198,-1,processed_pseudogene,ENSG00000288139
ISCUP1,1,170211010,170211457,-1,processed_pseudogene,ENSG00000238051
,1,186580515,186581191,-1,processed_pseudogene,ENSG00000233196
,1,200147531,200148279,-1,processed_pseudogene,ENSG00000229220
,1,198949016,198949805,1,processed_pseudogene,ENSG00000227747
,1,209173014,209173375,1,processed_pseudogene,ENSG00000228081
HNRNPA1P46,1,191146025,191146961,-1,processed_pseudogene,ENSG00000228020
FTH1P2,1,228687415,228687826,1,processed_pseudogene,ENSG00000234975
,1,117364899,117365473,-1,lncRNA,ENSG00000271427
RPS29P5,1,175921975,175922145,1,processed_pseudogene,ENSG00000230777
TFDP1P1,1,209232196,209233419,1,processed_pseudogene,ENSG00000224540
,1,91600171,91600321,1,processed_pseudogene,ENSG00000229067
LINC03121,1,188218400,188220676,1,lncRNA,ENSG00000261182
ATP5MC2P1,1,209267798,209268223,-1,processed_pseudogene,ENSG00000225712
,1,187632166,187632439,1,processed_pseudogene,ENSG00000274702
,1,221133865,221134221,-1,processed_pseudogene,ENSG00000226211
,1,198973379,198985506,1,lncRNA,ENSG00000225172
,1,191151510,191154634,1,lncRNA,ENSG00000261642
,1,157232231,157237136,-1,lncRNA,ENSG00000228239
,1,188705623,188732208,-1,lncRNA,ENSG00000237283
FMO10P,1,166665885,166682196,1,unprocessed_pseudogene,ENSG00000234984
,1,212168207,212190259,1,lncRNA,ENSG00000229983
,1,163422405,163423164,-1,unprocessed_pseudogene,ENSG00000225122
RIMKLBP2,1,219199914,219200567,-1,processed_pseudogene,ENSG00000225920
,1,194785517,194931310,-1,lncRNA,ENSG00000285718
,1,235097187,235097412,-1,processed_pseudogene,ENSG00000233018
MIPEPP2,1,238777049,238779200,-1,processed_pseudogene,ENSG00000224783
SRP14P4,1,171345105,171345307,-1,processed_pseudogene,ENSG00000268062
RPL7AP21,1,168578653,168579439,-1,processed_pseudogene,ENSG00000229757
RPL21P28,1,212051524,212052006,-1,processed_pseudogene,ENSG00000220749
,1,219222248,219225497,-1,lncRNA,ENSG00000223842
,1,227482253,227482454,1,processed_pseudogene,ENSG00000237193
CHCHD2P5,1,93921268,93921667,-1,processed_pseudogene,ENSG00000223490
PRR13P1,1,198197779,198198186,-1,processed_pseudogene,ENSG00000232824
LMX1A-AS2,1,165210627,165213090,1,lncRNA,ENSG00000224702
,1,170667381,170669425,1,lncRNA,ENSG00000271811
,1,188242139,188242678,-1,processed_pseudogene,ENSG00000224278
LINC01035,1,188905688,189037564,1,lncRNA,ENSG00000226486
,1,205935128,205935768,1,lncRNA,ENSG00000227687
LINC00210,1,217892900,217920804,1,lncRNA,ENSG00000231814
,1,219270774,219273387,1,lncRNA,ENSG00000277007
,1,218301262,218301972,-1,processed_pseudogene,ENSG00000229016
,1,188508538,188536465,1,lncRNA,ENSG00000225006
,1,218338541,218338756,1,processed_pseudogene,ENSG00000223375
,1,218031835,218033660,1,lncRNA,ENSG00000230714
,1,110256754,110256930,1,processed_pseudogene,ENSG00000282852
LINC01653,1,218043505,218059140,1,lncRNA,ENSG00000232100
HMGB1P11,1,171270954,171271590,-1,processed_pseudogene,ENSG00000230547
OR2L6P,1,248003129,248004068,1,unprocessed_pseudogene,ENSG00000232215
,1,227490691,227492296,1,unprocessed_pseudogene,ENSG00000278180
RPL4P2,1,166747379,166748660,1,processed_pseudogene,ENSG00000232341
,1,219294982,219297668,1,lncRNA,ENSG00000287676
ABCE1P3,1,192247505,192247947,1,processed_pseudogene,ENSG00000236792
,1,242671140,242671576,1,processed_pseudogene,ENSG00000270859
KIF26B-AS2,1,245614773,245615145,-1,lncRNA,ENSG00000238224
OR2L9P,1,247974741,247975653,1,unprocessed_pseudogene,ENSG00000237492
,1,167819898,167820248,-1,unprocessed_pseudogene,ENSG00000250762
,1,188671353,188671759,1,processed_pseudogene,ENSG00000235083
MORF4L1P7,1,176367699,176368401,-1,processed_pseudogene,ENSG00000225904
,1,188869474,188888540,-1,lncRNA,ENSG00000238054
TGFB2-OT1,1,218442626,218443996,1,lncRNA,ENSG00000281453
TUBB8P10,1,227493029,227495142,-1,unprocessed_pseudogene,ENSG00000237469
QRSL1P2,1,222261833,222262796,-1,processed_pseudogene,ENSG00000227613
KIF26B-AS3,1,245673732,245676478,-1,lncRNA,ENSG00000231612
CLPTM1LP1,1,189035961,189036444,-1,processed_pseudogene,ENSG00000271036
,1,211715928,211725402,-1,lncRNA,ENSG00000226868
,1,185518651,185520986,1,TEC,ENSG00000279401
,1,231339421,231339558,-1,unprocessed_pseudogene,ENSG00000287450
,1,193684246,193688429,-1,lncRNA,ENSG00000237011
,1,190264898,190362270,1,lncRNA,ENSG00000225811
,1,200315435,200315967,-1,lncRNA,ENSG00000273093
,1,242345558,242345718,1,unprocessed_pseudogene,ENSG00000226750
TOP1P1,1,171339299,171339959,1,processed_pseudogene,ENSG00000285665
RPS3AP9,1,188694320,188695111,1,processed_pseudogene,ENSG00000231022
,1,232221938,232222174,-1,processed_pseudogene,ENSG00000224436
,1,212299495,212331713,-1,lncRNA,ENSG00000234915
,1,221549786,221550643,-1,processed_pseudogene,ENSG00000227585
SHCBP1L,1,182899865,182953525,-1,protein_coding,ENSG00000157060
RPL23AP22,1,193756815,193757267,-1,processed_pseudogene,ENSG00000237213
,1,200329161,200329677,1,processed_pseudogene,ENSG00000213045
,1,212297448,212299579,1,lncRNA,ENSG00000230063
RPL10AP5,1,242365189,242365822,1,processed_pseudogene,ENSG00000235467
RPL23AP18,1,212309051,212309518,-1,processed_pseudogene,ENSG00000225338
,1,230280312,230281893,-1,lncRNA,ENSG00000224407
,1,176231200,176231830,-1,processed_pseudogene,ENSG00000232463
DUTP6,1,166868748,166869209,1,processed_pseudogene,ENSG00000225171
,1,242376923,242377432,-1,processed_pseudogene,ENSG00000213690
,1,212357418,212358353,1,lncRNA,ENSG00000229832
PTP4A1P7,1,176616273,176616786,-1,processed_pseudogene,ENSG00000237514
,1,231363797,231528603,-1,protein_coding,ENSG00000287856
HMGN1P4,1,182942115,182942404,-1,processed_pseudogene,ENSG00000224040
,1,176017277,176018760,1,lncRNA,ENSG00000228686
SLC4A1APP2,1,187706561,187708898,1,unprocessed_pseudogene,ENSG00000236401
RSL24D1P4,1,242772620,242773103,1,processed_pseudogene,ENSG00000215800
BPNT2P1,1,210462345,210463012,-1,processed_pseudogene,ENSG00000270936
,1,190480379,190494297,1,lncRNA,ENSG00000241505
LINC01735,1,208606564,208614295,-1,lncRNA,ENSG00000261453
,1,176305672,176306095,-1,processed_pseudogene,ENSG00000231020
,1,242882066,242883475,-1,processed_pseudogene,ENSG00000270818
LINC01710,1,218912757,218918714,-1,lncRNA,ENSG00000225561
,1,187714243,187714735,-1,processed_pseudogene,ENSG00000223847
,1,242890247,242890803,1,processed_pseudogene,ENSG00000277704
,1,244375100,244409592,-1,lncRNA,ENSG00000240963
,1,182955390,182956148,-1,processed_pseudogene,ENSG00000226570
,1,212824027,212824505,1,processed_pseudogene,ENSG00000236905
RPS26P13,1,208697369,208697698,-1,processed_pseudogene,ENSG00000227887
EXOC8,1,231332753,231337852,-1,protein_coding,ENSG00000116903
GAPDHP75,1,189132350,189133292,-1,processed_pseudogene,ENSG00000226196
,1,210362861,210366948,-1,lncRNA,ENSG00000287354
CCNQP1,1,200213678,200214322,1,processed_pseudogene,ENSG00000233827
,1,212853280,212853426,1,processed_pseudogene,ENSG00000235182
,1,210386657,210394112,-1,lncRNA,ENSG00000287157
TRNT1P1,1,163237214,163239197,1,processed_pseudogene,ENSG00000225755
SMYD3-IT1,1,246321663,246322438,-1,lncRNA,ENSG00000230184
,1,221508559,221510979,1,lncRNA,ENSG00000232436
,1,212855175,212855366,-1,processed_pseudogene,ENSG00000236317
KRT18P28,1,182959074,182960405,-1,processed_pseudogene,ENSG00000176855
TGIF2P1,1,244394976,244395660,-1,processed_pseudogene,ENSG00000225401
RPL23AP16,1,199371877,199372297,1,processed_pseudogene,ENSG00000228190
ZNF670-ZNF695,1,246945547,247078811,-1,protein_coding,ENSG00000135747
RGS21,1,192316992,192367285,1,protein_coding,ENSG00000253148
RCC2-AS1,1,17406760,17407382,1,lncRNA,ENSG00000227751
EEF1A1P44,1,199387141,199388475,1,processed_pseudogene,ENSG00000236468
RAC1P7,1,234026851,234027227,-1,processed_pseudogene,ENSG00000236101
,1,209001338,209001476,1,unprocessed_pseudogene,ENSG00000278684
,1,247015068,247017291,1,processed_pseudogene,ENSG00000236775
RPL31P13,1,213428708,213429077,-1,processed_pseudogene,ENSG00000228646
,1,234212606,234215088,-1,lncRNA,ENSG00000233332
RIDAP1,1,199752491,199752890,1,processed_pseudogene,ENSG00000231984
NXNP1,1,218881600,218882650,-1,processed_pseudogene,ENSG00000226693
,1,234261706,234274465,1,lncRNA,ENSG00000231272
BANF1P4,1,174756850,174757119,-1,processed_pseudogene,ENSG00000223828
ABCE1P2,1,192246708,192247487,-1,processed_pseudogene,ENSG00000226723
,1,89939601,89940147,1,lncRNA,ENSG00000272672
,1,246025897,246035603,1,lncRNA,ENSG00000235096
CHCHD4P5,1,246178778,246179204,1,processed_pseudogene,ENSG00000225222
PM20D1-AS1,1,205813322,205896082,1,lncRNA,ENSG00000286619
,1,183754418,183754937,-1,lncRNA,ENSG00000227554
GAPDHP29,1,94302038,94303022,1,processed_pseudogene,ENSG00000178596
DPY19L4P1,1,248771635,248773792,-1,processed_pseudogene,ENSG00000229663
,1,199876978,199877558,1,processed_pseudogene,ENSG00000228530
,1,233904104,233905931,-1,lncRNA,ENSG00000287921
,1,234284972,234285541,1,processed_pseudogene,ENSG00000232166
NDUFAF4P4,1,174849667,174850168,-1,processed_pseudogene,ENSG00000231378
,1,234356704,234357141,-1,processed_pseudogene,ENSG00000235605
LINC01691,1,121573946,121580524,-1,lncRNA,ENSG00000224857
,1,234372186,234372811,1,lncRNA,ENSG00000273367
LINC01363,1,167175363,167195792,-1,lncRNA,ENSG00000231605
,1,234357006,234365828,1,lncRNA,ENSG00000236358
GPR52,1,174447964,174449545,1,protein_coding,ENSG00000203737
FEN1P1,1,91328369,91329513,1,processed_pseudogene,ENSG00000215873
,1,51801028,51801307,1,lncRNA,ENSG00000272175
HMGB3P6,1,164356767,164357364,1,processed_pseudogene,ENSG00000213070
,1,199908921,199909648,1,processed_pseudogene,ENSG00000229747
,1,233836080,233836432,-1,processed_pseudogene,ENSG00000225486
,1,167162423,167162837,-1,processed_pseudogene,ENSG00000213068
,1,186521773,186522304,1,lncRNA,ENSG00000273198
NMNAT1P2,1,164343005,164343864,1,processed_pseudogene,ENSG00000225719
,1,112517799,112518441,-1,lncRNA,ENSG00000273483
VDAC1P10,1,215376484,215377374,1,processed_pseudogene,ENSG00000232809
,1,104998406,105032365,-1,lncRNA,ENSG00000285981
