gene_id	gate_type	complexity_score
ENSG00000234144	NULL	-1
ENSG00000213540	NULL	-1
ENSG00000277670	NULL	-1
ENSG00000227466	NULL	-1
ENSG00000154007	NULL	-1
ENSG00000230498	NULL	-1
ENSG00000285782	NULL	-1
ENSG00000162618	NULL	-1
ENSG00000224493	NULL	-1
ENSG00000131233	NULL	-1
ENSG00000272371	INCONSISTENT	2
ENSG00000229225	NULL	-1
ENSG00000230863	INCONSISTENT	2
ENSG00000225598	NULL	-1
ENSG00000225087	NULL	-1
ENSG00000280378	NULL	-1
ENSG00000188786	INCONSISTENT	2
ENSG00000230053	NULL	-1
ENSG00000137941	INCONSISTENT	2
ENSG00000224326	NULL	-1
ENSG00000066135	SIMPLE_AND	1
ENSG00000230027	NULL	-1
ENSG00000233061	NULL	-1
ENSG00000272094	NULL	-1
ENSG00000228853	NULL	-1
ENSG00000215874	NULL	-1
ENSG00000232453	NULL	-1
ENSG00000260386	REPRESSED	1
ENSG00000284895	NULL	-1
ENSG00000117174	INCONSISTENT	2
ENSG00000237413	NULL	-1
ENSG00000184313	NULL	-1
ENSG00000284645	NULL	-1
ENSG00000225605	NULL	-1
ENSG00000225446	INCONSISTENT	2
ENSG00000122420	NULL	-1
ENSG00000284240	NULL	-1
ENSG00000236290	NULL	-1
ENSG00000143013	INCONSISTENT	2
ENSG00000226084	NULL	-1
ENSG00000134748	SIMPLE_AND	1
ENSG00000142892	SIMPLE_AND	1
ENSG00000219102	NULL	-1
ENSG00000184005	INCONSISTENT	1
ENSG00000230953	NULL	-1
ENSG00000229332	NULL	-1
ENSG00000227937	NULL	-1
ENSG00000229752	NULL	-1
ENSG00000237505	INCONSISTENT	2
ENSG00000285462	NULL	-1
ENSG00000233216	NULL	-1
ENSG00000197273	NULL	-1
ENSG00000226804	NULL	-1
ENSG00000230728	NULL	-1
ENSG00000232846	NULL	-1
ENSG00000230787	NULL	-1
ENSG00000116641	SIMPLE_AND	1
ENSG00000223920	NULL	-1
ENSG00000237453	REPRESSED	1
ENSG00000172260	NULL	-1
ENSG00000285473	NULL	-1
ENSG00000237959	NULL	-1
ENSG00000231364	NULL	-1
ENSG00000234578	NULL	-1
ENSG00000117480	REPRESSED	1
ENSG00000137944	SIMPLE_AND	1
ENSG00000229505	NULL	-1
ENSG00000228187	NULL	-1
ENSG00000285201	NULL	-1
ENSG00000182183	INCONSISTENT	1
ENSG00000236407	NULL	-1
ENSG00000271949	INCONSISTENT	2
ENSG00000227062	NULL	-1
ENSG00000067334	SIMPLE_AND	1
ENSG00000235011	NULL	-1
ENSG00000235673	NULL	-1
ENSG00000226938	REPRESSED	1
ENSG00000213559	NULL	-1
ENSG00000142949	INCONSISTENT	1
ENSG00000116133	SIMPLE_AND	1
ENSG00000232882	NULL	-1
ENSG00000171502	INCONSISTENT	1
ENSG00000162399	BIVALENT	4
ENSG00000116157	NULL	-1
ENSG00000143036	REPRESSED	1
ENSG00000232672	NULL	-1
ENSG00000230817	NULL	-1
ENSG00000065243	SIMPLE_AND	1
ENSG00000226759	NULL	-1
ENSG00000226960	NULL	-1
ENSG00000234080	NULL	-1
ENSG00000237899	NULL	-1
ENSG00000223905	NULL	-1
ENSG00000227290	NULL	-1
ENSG00000229486	NULL	-1
ENSG00000282898	NULL	-1
ENSG00000285409	NULL	-1
ENSG00000231090	INCONSISTENT	2
ENSG00000117528	SIMPLE_AND	1
ENSG00000271723	NULL	-1
ENSG00000172339	INCONSISTENT	2
ENSG00000036549	SIMPLE_AND	1
ENSG00000058799	SIMPLE_AND	1
ENSG00000225191	NULL	-1
ENSG00000235563	NULL	-1
ENSG00000232048	NULL	-1
ENSG00000232857	NULL	-1
ENSG00000273637	INCONSISTENT	2
ENSG00000203985	REPRESSED	1
ENSG00000228838	NULL	-1
ENSG00000283761	INCONSISTENT	2
ENSG00000189433	NULL	-1
ENSG00000230759	NULL	-1
ENSG00000231866	INCONSISTENT	2
ENSG00000179178	INCONSISTENT	1
ENSG00000142700	REPRESSED	1
ENSG00000285525	NULL	-1
ENSG00000236098	NULL	-1
ENSG00000233514	REPRESSED	1
ENSG00000127124	INCONSISTENT	2
ENSG00000266993	NULL	-1
ENSG00000223675	REPRESSED	1
ENSG00000162604	INCONSISTENT	2
ENSG00000229316	NULL	-1
ENSG00000116171	SIMPLE_AND	1
ENSG00000225767	NULL	-1
ENSG00000234099	NULL	-1
ENSG00000137936	INCONSISTENT	2
ENSG00000235308	NULL	-1
ENSG00000232752	NULL	-1
ENSG00000235829	REPRESSED	1
ENSG00000143032	BIVALENT	4
ENSG00000226745	NULL	-1
ENSG00000178028	SIMPLE_AND	1
ENSG00000280040	NULL	-1
ENSG00000168710	SIMPLE_AND	1
ENSG00000117519	NULL	-1
ENSG00000270507	NULL	-1
ENSG00000238037	NULL	-1
ENSG00000215869	INCONSISTENT	1
ENSG00000134215	NULL	-1
ENSG00000227935	NULL	-1
ENSG00000228502	NULL	-1
ENSG00000236268	NULL	-1
ENSG00000271277	NULL	-1
ENSG00000236888	NULL	-1
ENSG00000279778	NULL	-1
ENSG00000230955	INCONSISTENT	2
ENSG00000230828	NULL	-1
ENSG00000188641	NULL	-1
ENSG00000152078	INCONSISTENT	2
ENSG00000237279	NULL	-1
ENSG00000233359	NULL	-1
ENSG00000237954	NULL	-1
ENSG00000185668	INCONSISTENT	1
ENSG00000171492	SIMPLE_AND	1
ENSG00000233129	NULL	-1
ENSG00000170989	INCONSISTENT	1
ENSG00000258634	INCONSISTENT	1
ENSG00000233557	NULL	-1
ENSG00000237897	NULL	-1
ENSG00000116299	INCONSISTENT	1
ENSG00000137962	NULL	-1
ENSG00000227832	NULL	-1
ENSG00000260464	INCONSISTENT	2
ENSG00000237435	NULL	-1
ENSG00000231996	NULL	-1
ENSG00000273204	INCONSISTENT	2
ENSG00000079739	BIVALENT	4
ENSG00000117154	NULL	-1
ENSG00000162377	SIMPLE_AND	1
ENSG00000224613	INCONSISTENT	2
ENSG00000215871	NULL	-1
ENSG00000232542	NULL	-1
ENSG00000116774	NULL	-1
ENSG00000284652	REPRESSED	1
ENSG00000023909	SIMPLE_AND	1
ENSG00000069702	SIMPLE_AND	1
ENSG00000232185	NULL	-1
ENSG00000230489	NULL	-1
ENSG00000228399	INCONSISTENT	1
ENSG00000236776	NULL	-1
ENSG00000224685	NULL	-1
ENSG00000237480	NULL	-1
ENSG00000271252	NULL	-1
ENSG00000230427	NULL	-1
ENSG00000235794	NULL	-1
ENSG00000237337	NULL	-1
ENSG00000233983	NULL	-1
ENSG00000198198	SIMPLE_AND	1
ENSG00000225183	NULL	-1
ENSG00000230402	NULL	-1
ENSG00000116793	SIMPLE_AND	1
ENSG00000238122	NULL	-1
ENSG00000260879	INCONSISTENT	2
ENSG00000283354	NULL	-1
ENSG00000232918	NULL	-1
ENSG00000236360	NULL	-1
ENSG00000183298	NULL	-1
ENSG00000234332	NULL	-1
ENSG00000117525	BIVALENT	4
ENSG00000225079	NULL	-1
ENSG00000226483	NULL	-1
ENSG00000224238	NULL	-1
ENSG00000229537	NULL	-1
ENSG00000162699	NULL	-1
ENSG00000162692	NULL	-1
ENSG00000203914	NULL	-1
ENSG00000270457	NULL	-1
ENSG00000203858	NULL	-1
ENSG00000231987	NULL	-1
ENSG00000228057	NULL	-1
ENSG00000261593	NULL	-1
ENSG00000224445	INCONSISTENT	1
ENSG00000229842	NULL	-1
ENSG00000270631	NULL	-1
ENSG00000229201	NULL	-1
ENSG00000181656	NULL	-1
ENSG00000122481	INCONSISTENT	2
ENSG00000198162	SIMPLE_AND	1
ENSG00000238198	INCONSISTENT	2
ENSG00000171517	NULL	-1
ENSG00000228852	NULL	-1
ENSG00000203864	INCONSISTENT	1
ENSG00000233482	NULL	-1
ENSG00000230250	NULL	-1
ENSG00000232878	NULL	-1
ENSG00000143079	INCONSISTENT	2
ENSG00000232450	NULL	-1
ENSG00000223575	NULL	-1
ENSG00000230768	NULL	-1
ENSG00000235202	REPRESSED	1
ENSG00000272715	INCONSISTENT	2
ENSG00000235038	NULL	-1
ENSG00000143093	SIMPLE_OR	0
ENSG00000226415	NULL	-1
ENSG00000085491	SIMPLE_AND	1
ENSG00000173947	INCONSISTENT	1
ENSG00000230434	NULL	-1
ENSG00000230718	NULL	-1
ENSG00000134198	NULL	-1
ENSG00000235595	NULL	-1
ENSG00000226053	NULL	-1
ENSG00000226128	NULL	-1
ENSG00000198799	SIMPLE_AND	1
ENSG00000279513	NULL	-1
ENSG00000117620	INCONSISTENT	2
ENSG00000280186	INCONSISTENT	2
ENSG00000223906	INCONSISTENT	1
ENSG00000162688	SIMPLE_AND	1
ENSG00000197106	NULL	-1
ENSG00000259946	NULL	-1
ENSG00000236137	INCONSISTENT	2
ENSG00000203859	NULL	-1
ENSG00000228086	NULL	-1
ENSG00000213421	REPRESSED	1
ENSG00000234020	NULL	-1
ENSG00000236804	NULL	-1
ENSG00000231072	NULL	-1
ENSG00000273406	NULL	-1
ENSG00000185946	INCONSISTENT	2
ENSG00000162627	NULL	-1
ENSG00000226715	NULL	-1
ENSG00000162695	SIMPLE_AND	1
ENSG00000265808	SIMPLE_AND	1
ENSG00000261290	REPRESSED	1
ENSG00000225923	NULL	-1
ENSG00000134247	SIMPLE_AND	1
ENSG00000187481	NULL	-1
ENSG00000116752	SIMPLE_AND	1
ENSG00000162664	SIMPLE_AND	1
ENSG00000236866	INCONSISTENT	2
ENSG00000134253	INCONSISTENT	2
ENSG00000223416	NULL	-1
ENSG00000179571	NULL	-1
ENSG00000227850	NULL	-1
ENSG00000235777	NULL	-1
ENSG00000173218	INCONSISTENT	2
ENSG00000285532	NULL	-1
ENSG00000226755	NULL	-1
ENSG00000232650	REPRESSED	1
ENSG00000183508	SIMPLE_AND	1
ENSG00000277095	NULL	-1
ENSG00000234283	INCONSISTENT	2
ENSG00000232780	NULL	-1
ENSG00000274927	INCONSISTENT	1
ENSG00000264145	NULL	-1
ENSG00000238256	NULL	-1
ENSG00000198765	REPRESSED	1
ENSG00000224335	NULL	-1
ENSG00000277702	NULL	-1
ENSG00000143398	SIMPLE_AND	1
ENSG00000196505	SIMPLE_AND	1
ENSG00000223489	REPRESSED	1
ENSG00000230546	NULL	-1
ENSG00000213262	NULL	-1
ENSG00000235526	REPRESSED	1
ENSG00000228347	NULL	-1
ENSG00000236012	REPRESSED	1
ENSG00000270911	NULL	-1
ENSG00000134200	NULL	-1
ENSG00000065183	SIMPLE_AND	1
ENSG00000227082	INCONSISTENT	1
ENSG00000226126	NULL	-1
ENSG00000163393	BIVALENT	4
ENSG00000163156	SIMPLE_OR	0
ENSG00000143631	NULL	-1
ENSG00000156150	REPRESSED	1
ENSG00000228453	NULL	-1
ENSG00000274642	NULL	-1
ENSG00000177551	REPRESSED	1
ENSG00000197323	SIMPLE_AND	1
ENSG00000237975	REPRESSED	1
ENSG00000261168	NULL	-1
ENSG00000229283	NULL	-1
ENSG00000271419	NULL	-1
ENSG00000226172	REPRESSED	1
ENSG00000079335	SIMPLE_OR	0
ENSG00000143119	SIMPLE_AND	1
ENSG00000237278	NULL	-1
ENSG00000233432	NULL	-1
ENSG00000227700	NULL	-1
ENSG00000229911	NULL	-1
ENSG00000143520	NULL	-1
ENSG00000171943	SIMPLE_AND	1
ENSG00000270719	NULL	-1
ENSG00000155761	INCONSISTENT	2
ENSG00000230806	INCONSISTENT	1
ENSG00000116830	SIMPLE_AND	1
ENSG00000234422	NULL	-1
ENSG00000227056	NULL	-1
ENSG00000227091	REPRESSED	1
ENSG00000214204	NULL	-1
ENSG00000081026	INCONSISTENT	2
ENSG00000225650	NULL	-1
ENSG00000224965	BIVALENT	5
ENSG00000228127	NULL	-1
ENSG00000226984	COMPLEX	3
ENSG00000186150	REPRESSED	1
ENSG00000143458	INCONSISTENT	2
ENSG00000230932	NULL	-1
ENSG00000073754	NULL	-1
ENSG00000228826	NULL	-1
ENSG00000233907	NULL	-1
ENSG00000225036	NULL	-1
ENSG00000228420	INCONSISTENT	1
ENSG00000233839	NULL	-1
ENSG00000250890	NULL	-1
ENSG00000232240	NULL	-1
ENSG00000230921	NULL	-1
ENSG00000234388	NULL	-1
ENSG00000271736	INCONSISTENT	2
ENSG00000233717	NULL	-1
ENSG00000163155	INCONSISTENT	2
ENSG00000241975	NULL	-1
ENSG00000271143	REPRESSED	1
ENSG00000270976	NULL	-1
ENSG00000228217	REPRESSED	1
ENSG00000270342	NULL	-1
ENSG00000175984	INCONSISTENT	1
ENSG00000231100	NULL	-1
ENSG00000116824	NULL	-1
ENSG00000235887	NULL	-1
ENSG00000237460	NULL	-1
ENSG00000236887	NULL	-1
ENSG00000024526	SIMPLE_AND	1
ENSG00000236480	NULL	-1
ENSG00000235756	NULL	-1
ENSG00000173810	NULL	-1
ENSG00000235005	NULL	-1
ENSG00000271890	NULL	-1
ENSG00000227425	NULL	-1
ENSG00000225279	REPRESSED	1
ENSG00000229101	NULL	-1
ENSG00000239216	REPRESSED	1
ENSG00000283360	NULL	-1
ENSG00000117262	SIMPLE_AND	1
ENSG00000227907	NULL	-1
ENSG00000227970	NULL	-1
ENSG00000261055	INCONSISTENT	2
ENSG00000231613	INCONSISTENT	1
ENSG00000137947	SIMPLE_AND	1
ENSG00000236689	NULL	-1
ENSG00000233589	NULL	-1
ENSG00000117586	NULL	-1
ENSG00000230946	NULL	-1
ENSG00000226028	NULL	-1
ENSG00000162728	REPRESSED	1
ENSG00000229021	BIVALENT	4
ENSG00000203825	NULL	-1
ENSG00000184371	SIMPLE_AND	1
ENSG00000233449	NULL	-1
ENSG00000242943	NULL	-1
ENSG00000233203	INCONSISTENT	2
ENSG00000232499	NULL	-1
ENSG00000232265	INCONSISTENT	2
ENSG00000163154	INCONSISTENT	1
ENSG00000232995	INCONSISTENT	2
ENSG00000238087	NULL	-1
ENSG00000227777	REPRESSED	1
ENSG00000177173	NULL	-1
ENSG00000238022	NULL	-1
ENSG00000231671	NULL	-1
ENSG00000162729	INCONSISTENT	2
ENSG00000143158	SIMPLE_AND	1
ENSG00000271092	INCONSISTENT	2
ENSG00000238118	NULL	-1
ENSG00000276118	NULL	-1
ENSG00000232148	NULL	-1
ENSG00000278811	NULL	-1
ENSG00000000460	NULL	-1
ENSG00000188859	BIVALENT	4
ENSG00000275075	NULL	-1
ENSG00000135862	BIVALENT	4
ENSG00000232952	NULL	-1
ENSG00000227722	NULL	-1
ENSG00000285922	NULL	-1
ENSG00000275801	NULL	-1
ENSG00000143198	SIMPLE_AND	1
ENSG00000143318	NULL	-1
ENSG00000232188	REPRESSED	1
ENSG00000232212	NULL	-1
ENSG00000143621	SIMPLE_AND	1
ENSG00000241042	NULL	-1
