gene_id	GM12878_gate_type	GM12878_gene_name	K562_gate_type	gene_name
ENSG00000154529		CNTNAP3B	INCONSISTENT	CNTNAP3B
ENSG00000154545		MAGED4		MAGED4
ENSG00000154548	INCONSISTENT	SRSF12		SRSF12
ENSG00000154556		SORBS2		SORBS2
ENSG00000154589	SIMPLE_AND	LY96		LY96
ENSG00000154608		CEP170P1		CEP170P1
ENSG00000154611		PSMA8		PSMA8
ENSG00000154620		TMSB4Y		TMSB4Y
ENSG00000154645		CHODL		CHODL
ENSG00000154646		TMPRSS15		TMPRSS15
ENSG00000154654		NCAM2	SIMPLE_OR	NCAM2
ENSG00000154655	SIMPLE_AND	L3MBTL4		L3MBTL4
ENSG00000154678		PDE1C		PDE1C
ENSG00000154734		ADAMTS1		ADAMTS1
ENSG00000154736		ADAMTS5		ADAMTS5
ENSG00000154764	REPRESSED	WNT7A		WNT7A
ENSG00000154822		PLCL2		PLCL2
ENSG00000154874	SIMPLE_OR	CCDC144BP		CCDC144BP
ENSG00000154898		CCDC144CP		CCDC144CP
ENSG00000154928	SIMPLE_AND	EPHB1		EPHB1
ENSG00000154930	BIVALENT	ACSS1		ACSS1
ENSG00000154975		CA10		CA10
ENSG00000154997		SEPTIN14		SEPTIN14
ENSG00000155011		DKK2		DKK2
ENSG00000155026		RSPH10B		RSPH10B
ENSG00000155052	REPRESSED	CNTNAP5		CNTNAP5
ENSG00000155066		PROM2		PROM2
ENSG00000155070		UNC93B2		UNC93B2
ENSG00000155087	INCONSISTENT	ODF1		ODF1
ENSG00000155093		PTPRN2	BIVALENT	PTPRN2
ENSG00000155096	SIMPLE_OR	AZIN1		AZIN1
ENSG00000155249		OR4K1		OR4K1
ENSG00000155269		GPR78		GPR78
ENSG00000155307		SAMSN1		SAMSN1
ENSG00000155324		GRAMD2B		GRAMD2B
ENSG00000155428		TRIM74		TRIM74
ENSG00000155495		MAGEC1	INCONSISTENT	MAGEC1
ENSG00000155511	REPRESSED	GRIA1		GRIA1
ENSG00000155545		MIER3		MIER3
ENSG00000155622		XAGE2		XAGE2
ENSG00000155657		TTN		TTN
ENSG00000155659	INCONSISTENT	VSIG4		VSIG4
ENSG00000155714		PDZD9	INCONSISTENT	PDZD9
ENSG00000155719	REPRESSED	OTOA		OTOA
ENSG00000155729		KCTD18		KCTD18
ENSG00000155749		FLACC1		FLACC1
ENSG00000155754		C2CD6		C2CD6
ENSG00000155761		SPAG17	INCONSISTENT	SPAG17
ENSG00000155816		FMN2		FMN2
ENSG00000155833		CYLC2		CYLC2
ENSG00000155868		MED7		MED7
ENSG00000155886		SLC24A2	INCONSISTENT	SLC24A2
ENSG00000155890		TRIM42		TRIM42
ENSG00000155893		PXYLP1		PXYLP1
ENSG00000155897	REPRESSED	ADCY8		ADCY8
ENSG00000155918		RAET1L	REPRESSED	RAET1L
ENSG00000155926		SLA		SLA
ENSG00000155959		VBP1		VBP1
ENSG00000155961	SIMPLE_AND	RAB39B		RAB39B
ENSG00000155966		AFF2		AFF2
ENSG00000156006		NAT2		NAT2
ENSG00000156009		MAGEA8	INCONSISTENT	MAGEA8
ENSG00000156011		PSD3		PSD3
ENSG00000156042	INCONSISTENT	CFAP70		CFAP70
ENSG00000156049	REPRESSED	GNA14		GNA14
ENSG00000156076	BIVALENT	WIF1		WIF1
ENSG00000156096		UGT2B4		UGT2B4
ENSG00000156097		GPR61		GPR61
ENSG00000156103	INCONSISTENT	MMP16		MMP16
ENSG00000156113	SIMPLE_OR	KCNMA1		KCNMA1
ENSG00000156127	SIMPLE_AND	BATF		BATF
ENSG00000156194		PPEF2	REPRESSED	PPEF2
ENSG00000156206	INCONSISTENT	CFAP161		CFAP161
ENSG00000156219	INCONSISTENT	ART3		ART3
ENSG00000156222	REPRESSED	SLC28A1		SLC28A1
ENSG00000156234		CXCL13		CXCL13
ENSG00000156265	SIMPLE_AND	MAP3K7CL		MAP3K7CL
ENSG00000156269		NAA11	SIMPLE_AND	NAA11
ENSG00000156273	SIMPLE_OR	BACH1		BACH1
ENSG00000156282		CLDN17		CLDN17
ENSG00000156284		CLDN8		CLDN8
ENSG00000156299	BIVALENT	TIAM1		TIAM1
ENSG00000156345		CDK20	INCONSISTENT	CDK20
ENSG00000156395	REPRESSED	SORCS3		SORCS3
ENSG00000156411		ATP5MJ		ATP5MJ
ENSG00000156413		FUT6		FUT6
ENSG00000156414		TDRD9		TDRD9
ENSG00000156463		SH3RF2	BIVALENT	SH3RF2
ENSG00000156475		PPP2R2B		PPP2R2B
ENSG00000156515		HK1		HK1
ENSG00000156521	SIMPLE_AND	TYSND1		TYSND1
ENSG00000156564	REPRESSED	LRFN2		LRFN2
ENSG00000156574		NODAL		NODAL
ENSG00000156575		PRG3		PRG3
ENSG00000156671		SAMD8		SAMD8
ENSG00000156687		UNC5D		UNC5D
ENSG00000156711		MAPK13	INCONSISTENT	MAPK13
ENSG00000156738	SIMPLE_AND	MS4A1		MS4A1
ENSG00000156755		IGKV1OR-2		IGKV1OR-2
ENSG00000156853		ZNF689	REPRESSED	ZNF689
ENSG00000156885		COX6A2		COX6A2
ENSG00000156886	SIMPLE_OR	ITGAD		ITGAD
ENSG00000156920		ADGRG4		ADGRG4
ENSG00000156925		ZIC3		ZIC3
ENSG00000156959		LHFPL4		LHFPL4
ENSG00000156966	SIMPLE_AND	B3GNT7		B3GNT7
ENSG00000156968		MPV17L	REPRESSED	MPV17L
ENSG00000157005	REPRESSED	SST		SST
ENSG00000157021		CIBAR1P1		CIBAR1P1
ENSG00000157060		SHCBP1L	REPRESSED	SHCBP1L
ENSG00000157087	REPRESSED	ATP2B2		ATP2B2
ENSG00000157093		LYZL4		LYZL4
ENSG00000157103	REPRESSED	SLC6A1		SLC6A1
ENSG00000157119		KLHL40		KLHL40
ENSG00000157131		C8A		C8A
ENSG00000157152	REPRESSED	SYN2		SYN2
ENSG00000157168	REPRESSED	NRG1		NRG1
ENSG00000157211		CDCP2		CDCP2
ENSG00000157214		STEAP2		STEAP2
ENSG00000157216		SSBP3	SIMPLE_OR	SSBP3
ENSG00000157219		HTR5A		HTR5A
ENSG00000157224		CLDN12		CLDN12
ENSG00000157227		MMP14		MMP14
ENSG00000157306		ZFHX2-AS1		ZFHX2-AS1
ENSG00000157315		TMED6		TMED6
ENSG00000157322		CLEC18A		CLEC18A
ENSG00000157330		CFAP107		CFAP107
ENSG00000157335		CLEC18C		CLEC18C
ENSG00000157343		ARMC12	INCONSISTENT	ARMC12
ENSG00000157368		IL34		IL34
ENSG00000157388		CACNA1D		CACNA1D
ENSG00000157399		ARSL	REPRESSED	ARSL
ENSG00000157423	REPRESSED	HYDIN		HYDIN
ENSG00000157445	REPRESSED	CACNA2D3		CACNA2D3
ENSG00000157450		RNF111		RNF111
ENSG00000157470	COMPLEX	FAM81A		FAM81A
ENSG00000157483	SIMPLE_AND	MYO1E		MYO1E
ENSG00000157502		PWWP3B		PWWP3B
ENSG00000157510	REPRESSED	AFAP1L1		AFAP1L1
ENSG00000157542		KCNJ6	INCONSISTENT	KCNJ6
ENSG00000157551		KCNJ15		KCNJ15
ENSG00000157625		TAB3		TAB3
ENSG00000157703		SVOPL	REPRESSED	SVOPL
ENSG00000157765		SLC34A2		SLC34A2
ENSG00000157766		ACAN	REPRESSED	ACAN
ENSG00000157800	SIMPLE_OR	SLC37A3		SLC37A3
ENSG00000157856		DRC1		DRC1
ENSG00000157884		CIB4	REPRESSED	CIB4
ENSG00000157927		RADIL	INCONSISTENT	RADIL
ENSG00000157965		SSX8P		SSX8P
ENSG00000157992		KRTCAP3	INCONSISTENT	KRTCAP3
ENSG00000157999		ANKRD61		ANKRD61
ENSG00000158008		EXTL1		EXTL1
ENSG00000158022		TRIM63	INCONSISTENT	TRIM63
ENSG00000158023	SIMPLE_OR	CFAP251		CFAP251
ENSG00000158050	SIMPLE_AND	DUSP2		DUSP2
ENSG00000158055		GRHL3		GRHL3
ENSG00000158077		NLRP14		NLRP14
ENSG00000158089		GALNT14	REPRESSED	GALNT14
ENSG00000158104		HPD		HPD
ENSG00000158125		XDH		XDH
ENSG00000158164		TMSB15A	INCONSISTENT	TMSB15A
ENSG00000158220	REPRESSED	ESYT3		ESYT3
ENSG00000158301		GPRASP2	INCONSISTENT	GPRASP2
ENSG00000158315		RHBDL2		RHBDL2
ENSG00000158352		SHROOM4		SHROOM4
ENSG00000158427	SIMPLE_AND	TMSB15B		TMSB15B
ENSG00000158428		CATIP		CATIP
ENSG00000158477		CD1A		CD1A
ENSG00000158481		CD1C		CD1C
ENSG00000158482		SNX29P1		SNX29P1
ENSG00000158485		CD1B		CD1B
ENSG00000158488		CD1E		CD1E
ENSG00000158497	INCONSISTENT	HMHB1		HMHB1
ENSG00000158516		CPA2	REPRESSED	CPA2
ENSG00000158517	SIMPLE_OR	NCF1		NCF1
ENSG00000158525		CPA5		CPA5
ENSG00000158528	REPRESSED	PPP1R9A		PPP1R9A
ENSG00000158552		ZFAND2B		ZFAND2B
ENSG00000158553	INCONSISTENT	POM121L2		POM121L2
ENSG00000158578		ALAS2	SIMPLE_AND	ALAS2
ENSG00000158639		PAGE5	SIMPLE_AND	PAGE5
ENSG00000158683		PKD1L1		PKD1L1
ENSG00000158714	INCONSISTENT	SLAMF8		SLAMF8
ENSG00000158731		OR10J6P		OR10J6P
ENSG00000158764		ITLN2		ITLN2
ENSG00000158786		PLA2G2F		PLA2G2F
ENSG00000158806	SIMPLE_OR	NPM2		NPM2
ENSG00000158813		EDA		EDA
ENSG00000158815	INCONSISTENT	FGF17		FGF17
ENSG00000158816	REPRESSED	VWA5B1		VWA5B1
ENSG00000158859		ADAMTS4	INCONSISTENT	ADAMTS4
ENSG00000158865		SLC5A11	INCONSISTENT	SLC5A11
ENSG00000158869	INCONSISTENT	FCER1G		FCER1G
ENSG00000158874		APOA2	INCONSISTENT	APOA2
ENSG00000158887		MPZ	INCONSISTENT	MPZ
ENSG00000158901		WFDC8		WFDC8
ENSG00000158955		WNT9B		WNT9B
ENSG00000158966	BIVALENT	CACHD1		CACHD1
ENSG00000158985		CDC42SE2		CDC42SE2
ENSG00000159110	SIMPLE_OR	IFNAR2		IFNAR2
ENSG00000159164		SV2A	INCONSISTENT	SV2A
ENSG00000159166		LAD1	REPRESSED	LAD1
ENSG00000159167		STC1		STC1
ENSG00000159173		TNNI1	REPRESSED	TNNI1
ENSG00000159182	REPRESSED	PRAC1		PRAC1
ENSG00000159186		ATP5POP1		ATP5POP1
ENSG00000159189		C1QC		C1QC
ENSG00000159197		KCNE2		KCNE2
ENSG00000159208	INCONSISTENT	CIART		CIART
ENSG00000159216		RUNX1		RUNX1
ENSG00000159224		GIP		GIP
ENSG00000159247		TUBBP5		TUBBP5
ENSG00000159251	REPRESSED	ACTC1		ACTC1
ENSG00000159261		CLDN14		CLDN14
ENSG00000159289		GOLGA6A		GOLGA6A
ENSG00000159307	REPRESSED	SCUBE1		SCUBE1
ENSG00000159337		PLA2G4D		PLA2G4D
ENSG00000159339		PADI4	REPRESSED	PADI4
ENSG00000159374		M1AP		M1AP
ENSG00000159387		IRX6		IRX6
ENSG00000159398		CES5A		CES5A
ENSG00000159403	INCONSISTENT	C1R		C1R
ENSG00000159409		CELF3		CELF3
ENSG00000159450	REPRESSED	TCHH		TCHH
ENSG00000159455		LCE2B		LCE2B
ENSG00000159495		TGM7		TGM7
ENSG00000159496		RGL4		RGL4
ENSG00000159516		SPRR2G		SPRR2G
ENSG00000159527		PGLYRP3		PGLYRP3
ENSG00000159588		CCDC17		CCDC17
ENSG00000159618	SIMPLE_AND	ADGRG5		ADGRG5
ENSG00000159625		DRC7	INCONSISTENT	DRC7
ENSG00000159648		TEPP	INCONSISTENT	TEPP
ENSG00000159650		UROC1		UROC1
ENSG00000159674		SPON2		SPON2
ENSG00000159763		PIP	REPRESSED	PIP
ENSG00000159860		TCAF2P1		TCAF2P1
ENSG00000159899		NPR2		NPR2
ENSG00000159904		ZNF890P		ZNF890P
ENSG00000159921		GNE		GNE
ENSG00000159961		OR3A3	REPRESSED	OR3A3
ENSG00000160161		CILP2		CILP2
ENSG00000160179		ABCG1		ABCG1
ENSG00000160180		TFF3	REPRESSED	TFF3
ENSG00000160181		TFF2		TFF2
ENSG00000160182		TFF1		TFF1
ENSG00000160183	SIMPLE_OR	TMPRSS3		TMPRSS3
ENSG00000160185		UBASH3A	INCONSISTENT	UBASH3A
ENSG00000160191	BIVALENT	PDE9A		PDE9A
ENSG00000160200		CBS	SIMPLE_OR	CBS
ENSG00000160201		U2AF1	INCONSISTENT	U2AF1
ENSG00000160202		CRYAA		CRYAA
ENSG00000160221		GATD3	SIMPLE_OR	GATD3
ENSG00000160223		ICOSLG		ICOSLG
ENSG00000160224		AIRE	REPRESSED	AIRE
ENSG00000160282		FTCD	INCONSISTENT	FTCD
ENSG00000160321		ZNF208		ZNF208
ENSG00000160339		FCN2		FCN2
ENSG00000160349		LCN1		LCN1
ENSG00000160396		HIPK4		HIPK4
ENSG00000160401		CFAP157		CFAP157
ENSG00000160439		RDH13	BIVALENT	RDH13
ENSG00000160472		TMEM190		TMEM190
ENSG00000160505		NLRP4		NLRP4
ENSG00000160539		PLPP7	INCONSISTENT	PLPP7
ENSG00000160593	SIMPLE_AND	JAML		JAML
ENSG00000160654		CD3G	INCONSISTENT	CD3G
ENSG00000160678		S100A1	SIMPLE_AND	S100A1
ENSG00000160683	REPRESSED	CXCR5		CXCR5
ENSG00000160703		NLRX1		NLRX1
ENSG00000160716	REPRESSED	CHRNB2		CHRNB2
ENSG00000160766		GBAP1	INCONSISTENT	GBAP1
ENSG00000160781	SIMPLE_OR	PAQR6		PAQR6
ENSG00000160791	INCONSISTENT	CCR5		CCR5
ENSG00000160801		PTH1R		PTH1R
ENSG00000160856		FCRL3		FCRL3
ENSG00000160862		AZGP1		AZGP1
ENSG00000160868		CYP3A4		CYP3A4
ENSG00000160870		CYP3A7		CYP3A7
ENSG00000160882		CYP11B1		CYP11B1
ENSG00000160883		HK3		HK3
ENSG00000160886		LY6K		LY6K
ENSG00000160994		CCDC105		CCDC105
ENSG00000161010		MRNIP		MRNIP
ENSG00000161031		PGLYRP2		PGLYRP2
ENSG00000161055	REPRESSED	SCGB3A1		SCGB3A1
ENSG00000161057		PSMC2		PSMC2
ENSG00000161082		CELF5	INCONSISTENT	CELF5
ENSG00000161103		POM121L15P		POM121L15P
ENSG00000161133		USP41	REPRESSED	USP41
ENSG00000161180		CCDC116	INCONSISTENT	CCDC116
ENSG00000161249		DMKN	REPRESSED	DMKN
ENSG00000161267		BDH1		BDH1
ENSG00000161281		COX7A1		COX7A1
ENSG00000161298	SIMPLE_AND	ZNF382		ZNF382
ENSG00000161395		PGAP3		PGAP3
ENSG00000161509	REPRESSED	GRIN2C		GRIN2C
ENSG00000161544	INCONSISTENT	CYGB		CYGB
ENSG00000161609		KASH5	INCONSISTENT	KASH5
ENSG00000161634		DCD		DCD
ENSG00000161640		SIGLEC11		SIGLEC11
ENSG00000161643		SIGLEC16		SIGLEC16
ENSG00000161649		CD300LG	REPRESSED	CD300LG
ENSG00000161652		IZUMO2		IZUMO2
ENSG00000161664		ASB16		ASB16
ENSG00000161798	REPRESSED	AQP5		AQP5
ENSG00000161800		RACGAP1	SIMPLE_OR	RACGAP1
ENSG00000161807		OR7G1		OR7G1
ENSG00000161813		LARP4		LARP4
ENSG00000161835	BIVALENT	TAMALIN		TAMALIN
ENSG00000161850		KRT82	REPRESSED	KRT82
ENSG00000161896		IP6K3	REPRESSED	IP6K3
ENSG00000161911		TREML1	REPRESSED	TREML1
ENSG00000161912		ADCY10P1		ADCY10P1
ENSG00000161929	SIMPLE_AND	SCIMP		SCIMP
ENSG00000161944		ASGR2	REPRESSED	ASGR2
ENSG00000161955	SIMPLE_AND	TNFSF13		TNFSF13
ENSG00000161996	SIMPLE_AND	WDR90		WDR90
ENSG00000162006		MSLNL	INCONSISTENT	MSLNL
ENSG00000162009		SSTR5		SSTR5
ENSG00000162032		SPSB3		SPSB3
ENSG00000162039		MEIOB	SIMPLE_AND	MEIOB
ENSG00000162068		NTN3	INCONSISTENT	NTN3
ENSG00000162078		ZG16B	REPRESSED	ZG16B
ENSG00000162105	BIVALENT	SHANK2		SHANK2
ENSG00000162148		PPP1R32		PPP1R32
ENSG00000162267		ITIH3		ITIH3
ENSG00000162344		FGF19		FGF19
ENSG00000162365		CYP4A22		CYP4A22
ENSG00000162366		PDZK1IP1	INCONSISTENT	PDZK1IP1
ENSG00000162373	REPRESSED	BEND5		BEND5
ENSG00000162374		ELAVL4	INCONSISTENT	ELAVL4
ENSG00000162383		SLC1A7		SLC1A7
ENSG00000162398		LEXM		LEXM
ENSG00000162407	REPRESSED	PLPP3		PLPP3
ENSG00000162409	REPRESSED	PRKAA2		PRKAA2
ENSG00000162438		CTRC		CTRC
ENSG00000162456		KNCN		KNCN
ENSG00000162460		TMEM82		TMEM82
ENSG00000162461		SLC25A34		SLC25A34
ENSG00000162482		AKR7A3		AKR7A3
ENSG00000162493		PDPN	REPRESSED	PDPN
ENSG00000162494		LRRC38		LRRC38
ENSG00000162510		MATN1	INCONSISTENT	MATN1
ENSG00000162543		UBXN10	INCONSISTENT	UBXN10
ENSG00000162571	REPRESSED	TTLL10		TTLL10
ENSG00000162572		SCNN1D		SCNN1D
ENSG00000162576		MXRA8		MXRA8
ENSG00000162585		FAAP20	SIMPLE_AND	FAAP20
ENSG00000162594		IL23R		IL23R
ENSG00000162598		C1orf87		C1orf87
ENSG00000162599		NFIA		NFIA
ENSG00000162614		NEXN	INCONSISTENT	NEXN
ENSG00000162618		ADGRL4		ADGRL4
ENSG00000162621		LRRC53		LRRC53
ENSG00000162627	BIVALENT	SNX7		SNX7
ENSG00000162630		B3GALT2		B3GALT2
ENSG00000162631	BIVALENT	NTNG1		NTNG1
ENSG00000162639	INCONSISTENT	HENMT1		HENMT1
ENSG00000162645		GBP2		GBP2
ENSG00000162685		LSP1P3		LSP1P3
ENSG00000162687	REPRESSED	KCNT2		KCNT2
ENSG00000162692	SIMPLE_AND	VCAM1		VCAM1
ENSG00000162699		DNAJA1P5		DNAJA1P5
ENSG00000162706	REPRESSED	CADM3		CADM3
ENSG00000162723		SLAMF9		SLAMF9
ENSG00000162727		OR2M5		OR2M5
ENSG00000162728		KCNJ9	REPRESSED	KCNJ9
ENSG00000162746		FCRLB	INCONSISTENT	FCRLB
ENSG00000162747		FCGR3B		FCGR3B
ENSG00000162753		SLC9C2	INCONSISTENT	SLC9C2
ENSG00000162755	SIMPLE_AND	KLHDC9		KLHDC9
ENSG00000162761		LMX1A	REPRESSED	LMX1A
ENSG00000162763		LRRC52	REPRESSED	LRRC52
ENSG00000162771		GARIN4	REPRESSED	GARIN4
ENSG00000162772	SIMPLE_AND	ATF3		ATF3
ENSG00000162782		TDRD5	REPRESSED	TDRD5
ENSG00000162804		SNED1	INCONSISTENT	SNED1
ENSG00000162817	INCONSISTENT	C1orf115		C1orf115
ENSG00000162840		MT2P1		MT2P1
ENSG00000162843		WDR64		WDR64
ENSG00000162873		KLHDC8A	REPRESSED	KLHDC8A
ENSG00000162877		PM20D1	REPRESSED	PM20D1
ENSG00000162881		OXER1		OXER1
ENSG00000162882	SIMPLE_AND	HAAO		HAAO
ENSG00000162888	INCONSISTENT	C1orf147		C1orf147
ENSG00000162891		IL20		IL20
ENSG00000162892		IL24	REPRESSED	IL24
ENSG00000162896		PIGR		PIGR
ENSG00000162897		FCAMR		FCAMR
ENSG00000162909		CAPN2	SIMPLE_OR	CAPN2
ENSG00000162944		RFTN2		RFTN2
ENSG00000162947		LINC01931		LINC01931
ENSG00000162949		CAPN13		CAPN13
ENSG00000162975		KCNF1	REPRESSED	KCNF1
ENSG00000162989	REPRESSED	KCNJ3		KCNJ3
ENSG00000163002		NUP35		NUP35
ENSG00000163016		ALMS1P1	REPRESSED	ALMS1P1
ENSG00000163017		ACTG2		ACTG2
ENSG00000163029		SMC6		SMC6
ENSG00000163046		ANKRD30BL		ANKRD30BL
ENSG00000163053	SIMPLE_AND	SLC16A14		SLC16A14
ENSG00000163060		TEKT4		TEKT4
ENSG00000163064	REPRESSED	EN1		EN1
ENSG00000163071	BIVALENT	SPATA18		SPATA18
ENSG00000163072		NOSTRIN		NOSTRIN
ENSG00000163075		CFAP221	INCONSISTENT	CFAP221
ENSG00000163081	REPRESSED	CCDC140		CCDC140
ENSG00000163082	SIMPLE_AND	SGPP2		SGPP2
ENSG00000163083	BIVALENT	INHBB		INHBB
ENSG00000163092		XIRP2		XIRP2
ENSG00000163098		BIRC8		BIRC8
ENSG00000163106		HPGDS		HPGDS
ENSG00000163114		PDHA2		PDHA2
ENSG00000163138		PACRGL		PACRGL
ENSG00000163141		BNIPL		BNIPL
ENSG00000163145		C1QTNF7		C1QTNF7
ENSG00000163157		TMOD4		TMOD4
ENSG00000163159		VPS72	SIMPLE_OR	VPS72
ENSG00000163171		CDC42EP3		CDC42EP3
ENSG00000163202		LCE3D		LCE3D
ENSG00000163206	INCONSISTENT	SMCP		SMCP
ENSG00000163207	INCONSISTENT	IVL		IVL
ENSG00000163209		SPRR3		SPRR3
ENSG00000163217		BMP10	INCONSISTENT	BMP10
ENSG00000163219		ARHGAP25	INCONSISTENT	ARHGAP25
ENSG00000163220		S100A9		S100A9
ENSG00000163221		S100A12		S100A12
ENSG00000163254		CRYGC		CRYGC
ENSG00000163263		CFAP141		CFAP141
ENSG00000163283		ALPP		ALPP
ENSG00000163285		GABRG1		GABRG1
ENSG00000163286		ALPG		ALPG
ENSG00000163288	BIVALENT	GABRB1		GABRB1
ENSG00000163295		ALPI		ALPI
ENSG00000163297		ANTXR2	SIMPLE_AND	ANTXR2
ENSG00000163322		ABRAXAS1		ABRAXAS1
ENSG00000163331		DAPL1		DAPL1
ENSG00000163347	BIVALENT	CLDN1		CLDN1
ENSG00000163352		LENEP	INCONSISTENT	LENEP
ENSG00000163354		DCST2		DCST2
ENSG00000163357		DCST1		DCST1
ENSG00000163359		COL6A3		COL6A3
ENSG00000163364	BIVALENT	LINC01116		LINC01116
ENSG00000163377		TAFA4		TAFA4
ENSG00000163380	REPRESSED	LMOD3		LMOD3
ENSG00000163394		CCKAR	REPRESSED	CCKAR
ENSG00000163395		IGFN1	REPRESSED	IGFN1
ENSG00000163406		SLC15A2		SLC15A2
ENSG00000163412	REPRESSED	EIF4E3		EIF4E3
ENSG00000163421	REPRESSED	PROK2		PROK2
ENSG00000163424		TEX55		TEX55
ENSG00000163430	BIVALENT	FSTL1		FSTL1
ENSG00000163435		ELF3		ELF3
ENSG00000163440		PDCL2		PDCL2
ENSG00000163464		CXCR1	REPRESSED	CXCR1
ENSG00000163468	REPRESSED	CCT3		CCT3
ENSG00000163485		ADORA1	REPRESSED	ADORA1
ENSG00000163492	SIMPLE_AND	CCDC141		CCDC141
ENSG00000163501	REPRESSED	IHH		IHH
ENSG00000163515		RETNLB		RETNLB
ENSG00000163518	BIVALENT	FCRL4		FCRL4
ENSG00000163519		TRAT1		TRAT1
ENSG00000163530		DPPA2		DPPA2
ENSG00000163534	REPRESSED	FCRL1		FCRL1
ENSG00000163554		SPTA1	SIMPLE_AND	SPTA1
ENSG00000163563	SIMPLE_AND	MNDA		MNDA
ENSG00000163564		PYHIN1		PYHIN1
ENSG00000163565	REPRESSED	IFI16		IFI16
ENSG00000163586		FABP1	REPRESSED	FABP1
ENSG00000163599		CTLA4		CTLA4
ENSG00000163600		ICOS		ICOS
ENSG00000163606	INCONSISTENT	CD200R1		CD200R1
ENSG00000163612		FAM86KP	INCONSISTENT	FAM86KP
ENSG00000163618	REPRESSED	CADPS		CADPS
ENSG00000163630		SYNPR		SYNPR
ENSG00000163631		ALB		ALB
ENSG00000163632		C3orf49		C3orf49
ENSG00000163637	BIVALENT	PRICKLE2		PRICKLE2
ENSG00000163646		CLRN1	REPRESSED	CLRN1
ENSG00000163687	SIMPLE_AND	DNASE1L3		DNASE1L3
ENSG00000163697	SIMPLE_AND	APBB2		APBB2
ENSG00000163701		IL17RE	INCONSISTENT	IL17RE
ENSG00000163705		FANCD2OS		FANCD2OS
ENSG00000163735	REPRESSED	CXCL5		CXCL5
ENSG00000163736		PPBP		PPBP
ENSG00000163737		PF4		PF4
ENSG00000163738		MTHFD2L		MTHFD2L
ENSG00000163739		CXCL1	INCONSISTENT	CXCL1
ENSG00000163746		PLSCR2	INCONSISTENT	PLSCR2
ENSG00000163749		CCDC158		CCDC158
ENSG00000163751	REPRESSED	CPA3		CPA3
ENSG00000163762		TM4SF18		TM4SF18
ENSG00000163792		TCF23		TCF23
ENSG00000163793		DNAJC5G	REPRESSED	DNAJC5G
ENSG00000163794		UCN		UCN
ENSG00000163803		PLB1		PLB1
ENSG00000163806		SPDYA		SPDYA
ENSG00000163810		TGM4		TGM4
ENSG00000163815		CLEC3B		CLEC3B
ENSG00000163818	SIMPLE_AND	LZTFL1		LZTFL1
ENSG00000163823	SIMPLE_AND	CCR1		CCR1
ENSG00000163825		RTP3	INCONSISTENT	RTP3
ENSG00000163827		LRRC2	REPRESSED	LRRC2
ENSG00000163833		FBXO40		FBXO40
ENSG00000163873	REPRESSED	GRIK3		GRIK3
ENSG00000163879		DNALI1	COMPLEX	DNALI1
ENSG00000163885		CFAP100		CFAP100
ENSG00000163904	SIMPLE_OR	SENP2		SENP2
ENSG00000163914		RHO		RHO
ENSG00000163915		IGF2BP2-AS1		IGF2BP2-AS1
ENSG00000163923		RPL39L	REPRESSED	RPL39L
ENSG00000163932		PRKCD		PRKCD
ENSG00000163958		ZDHHC19		ZDHHC19
ENSG00000163959		SLC51A		SLC51A
ENSG00000163982		OTOP1		OTOP1
ENSG00000163993		S100P	INCONSISTENT	S100P
ENSG00000164007		CLDN19		CLDN19
ENSG00000164035		EMCN		EMCN
ENSG00000164038		SLC9B2		SLC9B2
ENSG00000164047	INCONSISTENT	CAMP		CAMP
ENSG00000164049		FBXW12		FBXW12
ENSG00000164066	REPRESSED	INTU		INTU
ENSG00000164081		TEX264		TEX264
ENSG00000164082		GRM2		GRM2
ENSG00000164093	REPRESSED	PITX2		PITX2
ENSG00000164096		C4orf3		C4orf3
ENSG00000164099	BIVALENT	PRSS12		PRSS12
ENSG00000164100		NDST3		NDST3
ENSG00000164106		SCRG1		SCRG1
ENSG00000164113		ADAD1		ADAD1
ENSG00000164114	SIMPLE_AND	MAP9		MAP9
ENSG00000164116	BIVALENT	GUCY1A1		GUCY1A1
ENSG00000164122		ASB5	INCONSISTENT	ASB5
ENSG00000164123		C4orf45		C4orf45
ENSG00000164124		TMEM144	INCONSISTENT	TMEM144
ENSG00000164125	REPRESSED	GASK1B		GASK1B
ENSG00000164128		NPY1R	REPRESSED	NPY1R
ENSG00000164129		NPY5R	REPRESSED	NPY5R
ENSG00000164136	SIMPLE_AND	IL15		IL15
ENSG00000164175		SLC45A2	INCONSISTENT	SLC45A2
ENSG00000164176	BIVALENT	EDIL3		EDIL3
ENSG00000164185		ZNF474	INCONSISTENT	ZNF474
ENSG00000164188		RANBP3L		RANBP3L
ENSG00000164197	BIVALENT	RNF180		RNF180
ENSG00000164220		F2RL2		F2RL2
ENSG00000164253		WDR41		WDR41
ENSG00000164256		PRDM9	INCONSISTENT	PRDM9
ENSG00000164265		SCGB3A2		SCGB3A2
ENSG00000164266		SPINK1		SPINK1
ENSG00000164270		HTR4		HTR4
ENSG00000164283		ESM1		ESM1
ENSG00000164292		RHOBTB3	SIMPLE_AND	RHOBTB3
ENSG00000164299		SPZ1		SPZ1
ENSG00000164303		ENPP6		ENPP6
ENSG00000164309		CMYA5		CMYA5
ENSG00000164325		TMEM174		TMEM174
ENSG00000164326		CARTPT	REPRESSED	CARTPT
ENSG00000164334		FAM170A		FAM170A
